building_id,district_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq,height_ft_post_eq,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,condition_post_eq,damage_grade
246105000771,24,2,2,67,264,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4
311903002831,31,1,1,6,480,9,9,Flat,Mud mortar-Stone/Brick,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Damaged-Used in risk,Grade 2
365005001671,36,2,2,60,238,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3
249001002681,24,3,4,8,832,27,36,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1
245407000941,24,2,2,28,589,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,L-shape,Damaged-Not used,Grade 4
282907001021,28,2,0,2,552,16,0,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Square,Damaged-Rubble clear,Grade 5
236903000791,23,3,0,28,510,18,0,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Rubble clear,Grade 5
361101001261,36,2,2,50,417,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3
312008051251,31,1,1,4,691,7,7,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,Not applicable,Not attached,Rectangular,Damaged-Used in risk,Grade 2
122905000261,12,2,2,16,855,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2
236906000401,23,2,2,80,180,22,22,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 4
215406000161,21,2,2,30,340,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3
311709001091,31,2,2,30,300,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1
246902000131,24,2,2,82,510,18,18,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2
202510002551,20,1,1,3,500,8,8,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,Not applicable,Not attached,Square,Not damaged,Grade 1
220203000211,22,1,0,1,170,7,0,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Rubble clear,Grade 5
302403000841,30,2,2,9,320,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3
302406001081,30,2,2,50,400,12,12,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3
301202000511,30,2,0,3,446,13,0,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Rubble Clear-New building built,Grade 5
303505011571,30,3,3,12,350,27,27,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1
280109001431,28,2,0,12,380,14,0,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Rubble unclear,Grade 5
200103000131,20,2,2,7,300,18,18,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Not damaged,Grade 1
365004014971,36,2,2,4,523,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Not used,Grade 4
281506000331,28,3,1,15,336,25,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 4
361709000421,36,3,3,40,486,22,22,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3
236807000431,23,1,1,12,464,8,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,Not applicable,Not attached,Rectangular,Damaged-Not used,Grade 4
240507000611,24,1,1,10,300,10,10,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Used in risk,Grade 4
312001060351,31,2,2,22,1000,18,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 2
246802000971,24,2,2,7,392,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2
364306000961,36,1,1,7,734,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,RC,Not applicable,Not attached,Rectangular,Damaged-Used in risk,Grade 2
312502000061,31,2,2,12,396,15,15,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Not damaged,Grade 1
245705000851,24,2,2,26,564,23,23,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3
311204002342,31,2,2,30,150,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-3 side,Rectangular,Not damaged,Grade 1
360208001011,36,2,2,15,480,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2
